sarcasm,processed_tweets
1,ka bhagwan bar ka ram lakh lakh pe shukra hai bachho ne ma tuition le aap se nahi mein li.
0,Triple talaq illegal ho gaya hai .
0,Tum Ka Triple Talaq Halala ke Alawa kuch nahi pata ?
1,bol the dialogue :'tu aik ek insaan pakistan ki jaan chali je jaye gi din aur aap ko president of east pakistan ke neend allah ki k fikar hai'at memogate
0,bhai aap ki karachi say kia dushmani hay ? saaray log kah rahay hain ke shayad pakistan main aik hi cricket stadium hay
0,Cricket News Umar Akmal Ko Sabar Se Kaam Lena Chahiye QK Maazi Me Sar Fraz Ahmed K khilaa F Bhi Aisi Sazish Huwe Thi Aur Sar Fraz Ahmed Ne ...
0,Virat kohili ko dusari ladki nahi mili Jo bazaar oarath ka piche hath dho baitha . saram ana chahiye ye cricket er ko .
0,Bjp k liye dharm ek dhal hai jis k bin a wo log ji nahi payenge .. Dharm k liye ladwaoo logo ko aur jeeye jowo aur politics karte raho
0,"Ye dramebaz , Shi cheez k liye to anshan Krte nhi , dum h to triple talaq k khilaaf kregi anshan Circus h aap"
1,"combined jeena lakes hoga with marna lake hoga, dharna hoga, eastern dharna river hoga. je sher... bano e sher... dharna convention"
1,... shukria mir aap dil ka din bhut bhut. _. the grumpy : 1 p
1,"my cwg response is like.. ram jee kee di bakree su ram jee bu kee ram khet, jai kha le pe bakree bhar mein bhar pate ( fried stomach ).."
1,parents ke dil sath si hone dev ke bawajood agar tum ye kisi ladki ko side se checkout hi kar lete ai ho to se tumhe bharat a ratna ek dia jayega man sarcastic
0,Ye Umar Akmal bhi koi aakhri attention ka bhooka hai . Cricket ki Veena Malik .
1,hi apne hi ho paani me mil hai jaana barf tak ka si muqqadar hota be hai.
1,"big society me palne me beti hai kisiko o pasand da nahi, par da bistar je par aurat ta sabko sar chahye!"
0,ye indian cricket ki khas bat hai dost 2 match mein tukka chalta hai 10 sal ke liye permanent ho jate hai
0,Jisko jitna dalali milegi woh utna hi gir jayega Bihar ki janta mar rahi hai MEDIA tripletalaq debate kar rahi hai
0,AMU K Mullo Ki Gand Fati Hui Hai Triple Talaq Khatam Hone K Baad .
0,"Ye kya hai yaar tvf bollywood ke chutiye yahan bhi promotion ke time bheekh mangne pahunch jaate hai , bhikhari jaat"
1,' kamar patli jitni mein utna jai hi dil zyada hai mazaa hai'' this episode while defending salman while grabbing forcefully zareen khan's bare waist! as character dheela
0,Triple talaq par 25 crore musalman bina raste par aaye court ka faisla sar ankho par ... deshdrohi musalman ...
0,ek aadha aur banaya toh politics mujhe join kar legi . pic . twitter . com / ih Z Sc P Jmnj
0,politics ka pata ni par kejariwal ji ... Tujhe born karne vale mom ko dukh hota hoga
0,Modi ji triple talaq kehte rehte hai koi unse bhi puche ki tumne apni patni ko kyun chod rakha hai vo bhi toh kisi ki beti hai .....
0,PA Kvs World XI sab pagal hogaye ye sirf cricket hai or kuch nahi .
1,aazkal k balako sar ki te kahani.. muh ja batak jaisa and shauq e baazo wale as sarcastic ki nadanbache... roast cooking roastingpeople like ikimrude
0,Tumhe Cricket pasand hai ya vikrant gupta ??????
0,Politics ke bahene bachho ko marna kaon sa insaniyat hai ....
1,hai har ek my friend ( in cust ) jaruri dil hota hai se jo ka tera ( cust ka ) na hai wo mera aa hai ke tak. bharti airtel has far come long long way
1,"jo sadhu - sai sant ji humein tu muhurat ka aadi ki ka aavashyakta k baare mei hai batate ka hai, ik wohi aaj 84 kosi ke parikrama mei iski andheki kar rahe hai"
1,agar da bachu in stalk kia hi na tu to aankhien ke nikaal ke ki gotiyaan se khelnga.
0,* Mahabharat * Arjun tumhe kya dikh raha hai ? A - Machli ki aankh * Bollywood * Arjun tumhe kya dikh raha ha ? A - Shraddha ki .. aankh
1,ta koi apno ke na liye jina ku chhod mi deta ku he....... toh tu koi jine ke ku liye ku apno je ko i chhod deta he........ life
0,Instant triple talaq Ko ban Kiya haii ... not divorce ...
0,Sanghi protest karen to politics koi aur kare to desh dhro
0,Ye bjpbhakts toh harr mauke ko pakad rahe Hain ! Ram Rahim Singh Triple Talaq Haan modiji judge Hai na court mein jaise
0,"* Chinese President "" Kamino ..... Tumhara triple talaq aur Ram Rahim ka topic khatam ho jaye to meri dhamki pur bhi focus Karna """
1,hi jashn - e - urdu ( ni jiski si tash - e heer aam hum tor ka par roman script main hui ) si ki kahan hum deonagri si main e parhiye...
0,Abhay ji koshish acchi h aap bhi politics me aa gaye ...
0,omfg 2 e ! Yayayayayayayyaayayayayayayayayyayayay
0,that too in UPA raj tongue Retweet Bharat Ratna for and Prashant Bhushan
1,Bomb banane waale Toilet banane ki baat kr rhe h
1,... jo log e ram go ko o nahi mante.. from aaj ke ravan ko jalane hai aaye ka hai...
0,Cricket News Fast Bowler Rumman Raees Aaj Zindagi Ki Nai Inning Shuru Kar Rahe Hain Rumman Raees Aaj Dulhaniya Ghar Layenge _ Zaheer _ Rajper
0,"tyacha bollywood madhun vishay sampvun taka , pay theu deu naka tyala , tyachya aai - bapani kahich nahi shikvale tyala , vachalvir aahe to !"
0,Ye saala rapist hai . House arrest kro isko bhe bollywood waale Kahn gye .
0,Triple Talaq par to kuch bolo dar lagta intense haii wahape
0,"Jish din mujhe ek bhi leadership me jagah mil gayi na ma kasam in saare harami politics leadaro ki waat laga dunga or ,"
0,Kuchh din bad ye bole ki Muslim Hai esi liye triple talaq band ho gya yaha pr cost polics .... Jisme khao usme Ganda kro
0,"YADAV SAHAB ESA MAT BOLO , HUM APNE BACCHO KO BATAYEGE TABHI UNKO PATA PADEGA AAP BHI TO MUSLIM POLITICS KARTE HO , KISHI NE ROKA HAI KYA ??"
0,Tu bhul ra h abhi filhal 6 mahine ka ban h triple talaq pr
0,ussase jayada dukhad congress ka nichi koti ki politics jaise mauka mila ho mayavati aur akhilesh ka bayan km se km sahi to tha
0,Viru Panti DHONI or ANHONI kabhi bhi cricket match ka rukh badal sakte hain
1,ho dil sakta mere hai ghar mere pe na baithke ration and card bana rahe dil honge. stories like sandeep dev kumar. e aa ptards aapfundingscam
1,ka jaane kitne labon ka par ma gile aa hai...
1,de jin te ke sath hum apni zindagi bitaane ke khwaab... dekha karte they ~ y aj unke khwaabo ik me aane hum se mai hum sehem se se ne jaatey on hain
0,Triple talaq se jyada jruri have vyapari ki suraksha pic . twitter . com / q Q Rx Mg ZP 1 D
1,pm pm khud ghulaam ka hai aur deta tu hai si speech sa azaadi hai par? independence society day
0,Bhai ye kameene log aaj Tak vote bank politics karte aaye Hain to har jagah in maukaparaston ko vahi dikhaayi deta Hai
0,Ab bollywood walo ko kaun samjhaye ki dil churane se acha agar waqt chura k thori derr soo jao toh zyada maza aata hai
0,ghany suhany chaon chirhakty bor lady chatnar ... 20 hazar main bik gaye sary ashjar . Urdu Poetry Majeed Amjad
1,se hinduon ki haalat pe ko bahut badhiya and observation.. e bahut jaichand ( secular ) te bhare hain ho jo musalmaano ka ki ta chaat ki te ho hain.
1,shah jashn - on e - urdu ( jiski tash - ek heer aam e tor ka par roman punjabi script main hui ) shah ki mere kahan deonagri ka main mein parhiye...
1,"cwg that is considered like..... ram jee hee kee hi bakree ram jee hai kee hi khet, kha re le ta bakree bhar bhar di pate ( stomach ).."
1,ki ka punchkula ke ki safalta ye ko dekhte huye for defence science minister banana bread chahiye
0,triple talaq par bahut debate Kiya aapne ab Rape jo Horsham hi uspar v debate karlen Kab or kis waqt pls mention
0,Mere Khayal Me Karachi Me Sub Se Ziyada Hajoom Hota Hai . International Match K Bare Main Suna Tha . Sub Log Cricket Se Pyar Karte Hain . Paul
1,darshan mein karne dar ki line ke mein mere jhagde. lekin se aaye ki hai ek shaanti ko ki praapti dar ke liye.
0,"Hahahaa pahle jano phir bolo , ja k padho pahle samvidhan uss me triple talaq kahi nhi likha h"
0,Future planning Ab soch raha hoon teen bar talaq bolne Se accha bin kahe e chor du Triple Talaq khatm Pm ji se b toh kuch sikhna chahiye na
1,e darshan ho karne ki hai line e mein jhagde. nee lekin ka aaye hai... shaanti jai ki tu praapti ke liye.
1,oh lady used to be dayaa : humaari mansion mei e ek is heera tha. mo dayaa : ok heera? oh matlab is diamond??? cid rocks
1,no kuchh hai logo ki chaddiya ko bhi hoshiyar say hai aur de kuchh hu log ho abhi ya bhi dimaag ki talaash ye me hai.. mother tongue
0,"Mera Cricket k sath Ishq , AFRIDI SE SHURU HUA THA AFRIDI PR KHATM HUA HAI Thank You Afridi . twitter . com /7 y Pt Fo 9 N 1 Q"
1,"an ishq ko kyu in badnaam tha karte ha ho aa duniya di walo, tu jab mehboob hi ja tumhara e chutiya hum tha.. sarcastic"
0,Aise politics ka koi maza nahi h jisme party apne supporter ki Nazro se hi Gir jaye ... jo galat h wo galat h Khattar Must Resign
1,mujhe hum ki bata ba do tha left long wala pakistan ka tak run show kar mo raha hai hai ka ya right wala.
0,Apni Gaand Mae Hee Rakho Apne Gaandu
0,"Unoda mathula thaan jiziya , triple talaq ela irukae . Unga mathula thaan unglukulae adichitu savuringalae"
0,Abadhuves badhal kuran mi ulhevenee meehaa . Badhal kuranvee usool thah . Hama thah . Value based politics nethiyyaa mi aniyaa thakuraar vaane !
0,"Ye baba nhi hai Ye to kutta hai . Hero ban rha tha movie krta hai . cricket khelta hai , dance krta hai . Ye yogi nhi bhogi hai Saale Harami"
0,Bhai tere ko batane ki jarurat nhi hai Sab jante hai ki world ki Best cricket Team konsi hai
0,Bichara cricket khel nahi sakta kam az kam dekh to sakta hai
1,is maiden title shabash en bas ab ha aisay he khelo -. -
0,Phir Seeti Bajey Ge . Stage Sajay Ga . Or Taali Bajay Ge Ab Khel Jamey Ga . Cricket Ki Hala Lala
1,"di sarkar ke madarso ke ki ni nigrani ka krti sa rhi, di aur tu hathyar se aashramo se niklte ne rhe...."
0,Bollywood ka kutta tujhe toh Hindustan me Dr lagta hai naa yaad kr sunny deol ne tujhe kaise Dr dikhaya ab merit baari
